jml_lantai,harga,ruangan,luas (m2)
2,799000,3,65
4,428151,1,33.19
6,2700000,4,138.08
6,3150000,5,175.1
1,177500,1,22
0,319000,1,25.06
1,475000,2,49
3,442814,1,51.49
2,495000,2,40.95
4,428000,3,87.41
2,285000,2,39
1,425000,2,58
0,548000,2,63
0,369000,3,75.27
3,369000,2,39.88
2,329000,2,57.87
4,620000,3,76.43
2,495000,2,43.91
4,348000,3,63
0,528000,2,51.55
2,1290000,4,102.5
2,285997,2,29
4,790000,2,63
1,299000,2,45.51
6,3100000,5,175.1
1,989791,4,125.29
2,329000,2,36.5
2,279000,1,27.4
4,460000,3,56
0,499900,2,43.56
0,552000,2,80
0,349000,1,27.53
1,2200000,3,117.72
2,475000,3,57.11
3,689000,2,76.5
3,395000,2,51.3
4,428000,4,87
3,255000,1,24
1,930000,3,79
1,275940,2,37.8
3,315000,1,35
2,857071,3,108.49
0,279000,2,35
1,359900,3,86.69
3,330518.68,2,41.32
0,579000,3,46.09
0,499000,2,43
2,460000,2,45
0,369000,3,25
1,4200000,5,200
1,1098000,2,61
1,667000,2,58.34
2,680000,3,64
2,545000,4,85
0,330000,1,34.5
4,299000,2,68
0,499000,3,43.56
2,1499000,4,121.4
2,1290000,3,96
3,459000,4,77
3,359000,2,44.1
1,520000,2,65
1,630000,2,46.61
0,649000,2,51.52
3,1001246,4,126.74
2,1116000,2,62
3,394900,2,51.3
3,287210,1,26.11
2,285000,2,39
1,690000,5,124.41
0,390000,3,43
4,490000,2,42
0,339000,1,26.49
1,329000,2,33
0,499000,3,43.56
2,280000,4,48.4
1,1500000,5,144.9
0,620000,3,64.5
2,280000,2,48.4
6,2400000,4,138.08
0,499000,2,43.56
1,2200000,3,120
3,1001246,4,126.74
2,599000,4,124.17
3,442814,2,51.49
3,949000,4,125
6,3150000,5,175.1
3,387000,2,43
1,619000,2,60
2,335000,2,38.92
0,367900,2,43.86
1,399000,2,47
0,369000,2,40.3
0,552000,2,80
0,279000,1,20
0,282000,1,16
0,528000,2,51.55
3,490000,2,42
1,2200000,3,120
3,459000,4,72
0,282000,1,16
6,2400000,4,138.08
0,640000,4,107
4,348000,3,63.28
5,113900,1,13.3
1,495000,3,61
2,857071,4,108.49
0,380000,1,22.9
4,582822,3,67.77
3,3390000,4,150
2,285000,2,38.92
1,2200000,3,117.13
0,549000,1,51.55
3,359001,2,44
6,5550000,7,313.18
4,530000,2,41.55
3,299900,3,59.72
1,619000,4,88.3
5,1600000,4,90.59
1,1525000,2,64.6
5,2430000,3,100.3
1,450000,1,22
5,689000,3,51.27
1,785000,2,53
1,865000,2,43.27
4,465000,2,91.45
3,1215960,4,101.33
1,940000,2,83
0,759000,2,45.5
3,531600,4,44.3
3,1275360,4,106.28
3,479000,1,25.95
3,495000,1,27
2,516000,2,43
5,1600000,4,90.59
5,689000,3,51
5,2850000,5,178
4,1355000,6,118.3
2,695000,1,38
5,2400000,5,144
2,575000,2,44.61
0,480000,2,30
3,494700,1,28
1,569000,1,33.8
0,1275000,2,54
2,645000,2,55
2,1290000,3,96.3
1,845000,4,90
1,829000,2,49.21
2,1250000,3,96.5
2,1290000,3,96
3,2050000,3,85
1,855000,2,70
0,1949000,4,93
2,1250000,3,96
1,282240,1,26.88
1,535000,1,37
2,356430,2,32.7
1,590000,2,51
3,852000,3,83.11
2,645000,2,53.68
3,940000,2,47
2,659000,2,64
5,1100000,2,46.5
7,5875000,6,227.28
5,1368000,2,60
2,1250000,3,84
6,1190000,2,41
4,2400000,5,144.64
1,413340,2,49.8
6,1300000,2,51.5
1,898000,2,58
4,386547,3,55.3
1,510840,2,59.4
1,2307275,3,112.55
4,1325000,5,99
5,278000,1,31
0,279000,2,35
3,799000,3,51.22
1,610000,4,68.34
4,2400000,5,146
5,1675000,4,90
6,1204516,2,81
8,385000,1,15
6,576000,2,32
2,689900,3,69
4,599000,3,105.5
4,319000,1,30.77
3,529620,1,40.74
4,370000,1,26.6
2,805000,2,41
4,339000,1,32.52
4,569000,2,50.71
4,359000,1,34.04
3,529000,2,40.74
2,750000,2,47
4,335000,1,32.16
2,689800,3,68.98
2,689800,2,68.98
3,530000,2,40.74
1,279000,2,37
0,499000,3,42
2,519600,2,43.3
3,510720,1,36.48
3,720000,2,52.85
3,874860,3,62.49
0,1020000,3,67.56
1,930000,3,78.97
4,1121067,4,95.41
1,279000,2,39.87
1,279000,2,39.87
3,389000,2,55.83
2,325000,2,48.67
1,359000,2,55.83
1,249000,2,28
1,540000,3,73.7
2,1092000,3,91
0,549000,2,51.55
6,1190000,2,41
2,429000,3,78.1
0,499000,2,43.56
0,549000,2,51.55
3,849900,1,74
2,650000,3,70
3,593999,2,65
3,595000,2,65
1,599000,2,46
0,999999,3,100
2,639000,3,62
2,657000,2,62
7,845000,3,73
2,658000,2,61.5
2,639000,2,61.5
3,1990000,4,301
2,639000,2,62
1,844000,3,91.1
2,639000,2,62
1,895000,3,91
2,639000,2,62
3,380000,1,23
3,399000,2,54.1
2,460000,3,52
2,425000,2,54
1,432000,2,52.5
0,1650000,6,200
0,433000,2,54.2
3,399000,2,54.1
1,569000,2,34.12
2,5800000,4,200
1,540000,3,73.6
1,385000,2,59.1
3,985000,3,53
1,1100000,3,79
1,279000,2,37.81
0,986000,3,50.5
2,338465,2,47.68
2,689900,3,68.98
2,1129900,3,73
4,549000,2,46
0,1020000,3,68
5,380000,2,33.36
3,243000,2,40.5
2,1150000,4,74
0,387000,2,35
1,375586,1,38.14
2,369000,2,41.6
2,346000,1,31.43
1,499000,1,41.48
2,463000,3,48.92
2,399000,1,26
3,422221,2,50.87
2,789000,2,56.5
3,239000,3,47.05
3,315000,2,36.9
1,366000,1,29.8
2,689900,3,68.98
2,1190000,4,97
1,549000,3,77
4,439900,2,75.9
3,510840,2,59.4
1,649000,2,46.82
0,387000,2,35
2,469000,3,59
4,414834,2,49.98
2,1100000,3,120
5,1600000,4,90.59
3,699000,2,51.02
3,525120,2,43.76
1,442000,3,46.11
1,450000,1,34.47
0,320000,2,44
2,1403000,2,61
0,199999,2,24.39
4,1123500,4,107
1,1208070,5,93
3,497000,2,29.07
3,530000,2,40.74
3,699000,2,51.02
0,549000,3,75
2,386000,1,32
3,1474200,4,126
4,675000,3,100
1,630000,2,42
3,1750000,6,182
4,374800,2,44.89
0,255000,2,31.5
3,1230000,3,110
1,650000,2,51.5
0,1249000,3,96.96
5,990000,3,93
2,256139,2,25.74
0,555000,2,39.95
1,328040,2,49.62
1,649000,2,46.82
3,980000,6,90
4,450000,2,40
1,1300000,4,103
0,1020000,3,67.56
1,365000,1,36.89
2,1196000,4,104
1,930000,3,80
4,1590000,6,135.2
3,650000,2,79.18
5,990000,3,93.61
0,429000,4,54
4,345800,2,40.44
1,445000,1,35
3,985000,3,68.98
1,470000,3,54.3
1,689800,3,68.98
0,252807,2,25.17
1,1050000,3,75
3,1564000,5,136
2,299000,1,18.3
2,495000,2,41.2
5,990000,3,93.61
3,609000,2,44
0,498000,2,40
2,430000,2,67
5,990000,3,93.61
0,450000,1,30
2,445000,2,44.95
3,579000,2,41.21
2,1195000,2,68
2,689900,3,68.98
1,325000,1,36.5
3,570000,3,44.5
3,985000,3,68
1,598000,2,55
1,359000,3,53.05
0,387000,2,35
3,499000,3,58.44
1,460000,1,42
2,1100000,5,126
3,1520000,4,67.34
0,339000,2,40
2,620000,2,61
0,292746,2,30.18
2,1050000,4,130
1,339000,1,32.4
1,375000,2,40
2,220000,1,33
3,579000,2,41.21
1,599000,2,59.5
1,575000,2,55
3,1230000,3,109
2,1999989,4,83.56
1,595000,2,55
2,390000,1,40.03
1,369000,1,27.2
3,413340,2,49.8
2,790000,3,86
2,430000,2,67
2,650000,2,82
2,509980,2,59.3
3,985000,3,68.98
1,555000,2,39.95
1,367000,2,59.2
2,1550000,3,158
0,275000,2,33.5
2,1550000,4,149
2,315000,2,47.1
4,439900,2,75.9
2,529620,2,40.74
2,790000,3,57
3,498000,1,37.58
4,620000,3,67
0,386547,3,55.3
4,418600,2,49.83
1,650000,2,51.5
2,670000,6,101
3,609000,2,43
3,399000,2,32
4,249000,2,28
3,799000,2,45
4,330310,1,38.86
1,3450000,5,131.76
5,2850000,1,177.59
4,1390000,3,115
5,1600000,4,90.5
2,950000,4,130
3,800000,5,127
3,320000,1,18
3,899999,3,96
4,1119000,4,95.43
3,320000,1,17.61
2,970000,3,62
2,399000,2,64
3,320000,1,18
2,2380000,4,113.5
4,895000,3,53.1
2,2000000,3,146.1
4,894900,3,53
3,587000,2,43.5
2,1690000,4,95.34
2,1950000,4,138
0,799000,2,47
1,1050000,3,65
1,1050000,3,65
4,670000,3,69.28
1,935000,2,75
0,799000,2,47
0,387000,2,35
4,895000,3,53.1
0,799000,2,46.75
1,7000000,7,239
2,620000,3,61.94
0,999000,3,98
1,1100000,5,93
2,385000,2,72.4
1,1095000,3,65
3,709000,2,53.4
1,1455000,3,101.2
3,709000,2,53
1,1455000,3,101.23
3,709000,2,53.4
3,1499000,5,136
1,1095000,3,65.07
3,709000,2,53
5,385000,1,20.54
3,800000,3,74
0,960000,3,95.19
5,990000,3,93.61
1,239000,1,15
4,2250000,5,150.6
3,864948,4,88.26
1,479000,2,38
0,920000,3,95.19
4,1650000,5,122
1,485000,3,45.73
2,718000,3,53.21
1,1200000,3,75.8
2,239000,1,15.21
1,1100000,4,74.08
2,299000,2,50
4,380000,2,30
3,699000,3,113
4,1800000,4,157.08
1,1633000,3,92
5,320000,1,25.77
2,1050000,2,49.89
1,1100000,2,75
3,510840,2,59.4
4,414834,2,49.98
1,367040,2,59.2
3,924180,4,109.2
1,2203500,3,84.75
1,920000,2,75
0,888000,2,54
0,494900,3,98
2,746000,3,64
4,1400000,3,122.6
1,468000,1,18
5,990000,3,93.6
1,380000,2,48.4
1,380000,2,48.4
2,280000,1,16.2
4,399000,1,24.5
1,2750000,5,169.4
4,335000,1,29.45
1,1053910,3,87.1
4,799000,3,69
2,379000,3,76.41
1,199000,1,41.83
2,1200000,3,62
1,1150000,2,51.46
2,404000,2,43
2,1550000,3,158
1,849000,3,101
0,380000,3,43
2,1200000,3,80.5
0,229000,1,31.1
3,1160000,4,124
2,337000,1,31
1,380000,4,78
4,2400000,6,156.18
3,1096338,3,92.91
1,699000,5,133
1,1150000,2,51.46
3,1080000,3,118
2,1290000,3,96
0,275000,1,26
1,1500000,4,122.07
0,200000,1,16.2
1,1500000,4,122.07
2,299000,1,18.3
3,1290000,4,84
1,295000,2,40.5
2,779000,3,69
3,475740,1,35.24
3,655574,2,51.62
2,1200000,3,80.5
1,599000,3,69
0,1690000,4,166
3,499000,1,39.06
1,2390000,5,150
3,1564000,6,136
2,850000,3,64.9
2,325000,1,27.55
2,1290000,3,96
0,439000,3,56
1,869000,2,58.64
3,1080000,3,110.5
2,1200000,3,80.5
0,1690000,6,166
3,275000,1,26
0,675000,2,46.46
2,319000,2,27
1,1150000,2,54
3,780000,2,47
1,499000,2,41
1,515000,2,42.95
1,890000,3,70
3,429000,1,32
3,1080000,3,118
0,359000,2,47.4
1,1350000,4,107
1,590000,3,63
1,990000,2,74.69
1,465000,2,45.2
3,1080000,4,110.5
5,340000,2,35.6
4,799000,3,69
0,558000,2,43
2,1349000,4,139
3,1080000,3,110
3,499000,2,48.48
4,790000,2,71
1,1150000,2,55
2,1200000,3,80.5
2,639000,2,57.7
4,670000,3,69.28
0,415000,2,32.5
1,890000,3,70
1,550000,2,37
3,479000,3,73.9
1,630000,2,46.6
1,359000,3,55.83
0,373700,1,24.58
1,1150000,2,55
2,338000,1,20.16
3,858800,4,76
3,1080000,3,110.5
2,1200000,3,80.66
4,670000,3,70
4,370000,3,74
2,1160000,4,120
0,378000,3,43
1,2750000,5,169.4
3,1051248,3,86.88
3,652000,3,42.09
0,290000,2,38
0,735000,2,54.55
3,425000,1,39
1,305000,2,42
2,1119999,4,96
4,1244000,2,70
2,1300000,3,86.6
1,1053910,3,87.1
3,1051274,3,86.17
0,350000,1,19.02
0,319900,1,25.5
2,1050000,3,105.5
3,859000,3,58
2,319000,1,27
0,1042088,5,132.75
4,760000,3,72.99
1,339000,2,65.16
1,339000,1,32.4
1,380000,4,78
4,1200000,4,90
3,1080000,3,110.5
3,646000,3,68
2,1840000,3,100.1
0,320000,2,46.96
1,995000,3,77
0,415000,2,32.5
3,495000,2,43
1,2750000,5,170
4,371565,2,32.31
2,1052337,3,86.97
1,350000,1,32
1,970000,3,108.53
0,1650000,5,113.9
3,649000,2,51.45
1,1500000,4,122
2,726000,2,50.07
3,324000,1,28.42
0,365000,1,28.3
0,739000,2,60
1,839160,3,84
2,340000,2,31.8
1,1250000,3,65
1,640000,2,58.5
2,1104970,3,94.04
2,1250000,3,96
2,1200000,3,81
2,599000,1,65
3,1850000,3,84.5
3,1051248,3,86.88
1,598000,2,49
3,680000,2,46.53
3,1080000,3,110
3,680000,2,47
4,398700,1,31.18
0,229000,1,31.1
0,319000,1,22.5
0,390660,2,38.3
0,1458800,2,72.94
1,704000,3,64
3,1080000,4,110
0,375000,2,43.46
1,516000,2,43
3,925000,4,84
2,1150000,4,74
1,1150000,2,51.46
1,2890000,4,117
0,350000,1,30.22
0,616000,3,56
1,510000,1,30
0,350000,1,17.35
4,2290000,3,178
4,670000,3,70
1,1051248,2,86.88
4,995000,4,115
3,2000000,4,94.3
3,1080000,3,110
4,670000,3,69.28
1,1500000,4,122.07
3,588000,2,37.03
0,361400,1,26
3,445000,1,33.55
1,2700000,7,169.4
3,1080000,3,118
2,370000,2,50
1,704000,3,64
2,779856,3,70
3,950000,3,96
1,2700000,7,169.4
1,339000,1,32.4
1,1150000,2,51.46
3,1080000,3,110
1,289000,1,38.8
0,250000,2,45.75
3,479000,2,37.1
3,485000,3,49
2,529000,2,60
3,409000,2,48
1,460000,2,39.66
1,349000,1,32.4
2,1150000,4,74.23
2,1052337,3,86.97
0,688000,2,44.4
2,1200000,3,80.5
4,720000,5,142
4,799000,2,64
2,1200000,3,80.66
3,799000,5,127
2,399000,2,44
5,744000,2,59.59
0,1199000,4,100
4,4500000,5,154
5,744000,3,59.49
1,1780000,3,71
0,1250000,3,61
4,4500000,5,154
6,749000,3,60
5,755000,2,59.49
2,1755000,2,117
0,699000,2,50
0,368000,1,29
4,335000,1,29.45
5,759000,2,60
0,720000,2,62.07
5,759000,2,59.49
1,1049000,4,80.1
4,599000,2,66
0,750000,3,69.2
5,1150000,3,84.74
0,995000,2,66.04
3,799000,3,83.4
4,2380000,3,100
4,279000,1,29.7
2,1200000,3,80.66
0,995000,2,66.04
0,995000,2,66.04
1,1090000,3,80.1
3,929000,2,57
1,1085000,3,108.53
2,1200000,3,80
0,995000,2,66
5,1230000,2,67
2,1200000,3,81
4,599000,3,66.1
0,995000,2,66.04
1,1000000,3,108.53
1,599000,2,46
2,1200000,3,80.66
1,1030000,3,108.53
3,3000000,5,170
3,940000,3,94.12
3,410000,1,28
5,759000,2,60
0,399000,1,37
2,710000,5,157.3
3,560000,3,84
3,368740,1,28.42
2,352000,1,27.55
0,643900,3,94.47
4,239000,1,45
1,300000,1,21.38
3,340000,2,64
1,1080000,2,50.17
1,1325000,3,70
3,560000,3,84
2,679000,2,64
1,1325000,3,70
0,999000,7,180
2,749000,2,52
3,486760,1,28.3
1,524000,2,42
1,1750000,5,113
5,660000,1,33.25
3,695790,2,42.95
0,949000,2,84.8
1,675000,2,54.55
1,980000,3,88
2,2390000,4,129
1,680000,2,54
1,524000,2,42
1,572000,2,34.24
0,890000,3,80.5
3,434000,3,65.7
2,980000,3,73
0,1249900,3,60.86
1,1750000,5,113
1,1750000,5,113
2,1290000,5,166
1,499999,2,63
4,699000,4,113
4,519000,2,44
1,590000,2,47
4,1485000,4,110
1,510000,2,43
2,1100000,3,96.7
3,434000,3,67.6
2,470000,2,39
4,670000,3,69.28
0,1399000,4,88.96
6,1330000,2,62.4
2,339500,2,43.48
0,680000,4,117
0,439000,3,56
2,1350000,4,139.5
5,1150000,3,84.74
1,510000,2,43
1,465000,2,39.66
0,446000,1,32.5
1,1696500,4,135.72
1,599000,2,46
6,1330000,2,62.4
1,599000,2,46
3,450000,2,37
1,630000,3,54.35
0,721999,3,64
2,349000,2,43
2,1350000,4,139.17
1,2100000,4,104
4,490000,2,44
5,1150000,3,84.74
0,429000,2,37.39
1,970000,3,89
3,650000,2,79.18
0,570000,1,38.6
4,371565,2,32.31
0,446000,2,32.5
2,2500000,4,116
3,594000,2,65
3,695000,3,57.02
4,599000,2,56
1,286000,1,19.5
4,490000,3,46
3,369000,2,41
1,599000,2,46
0,949000,2,84.8
4,1159000,2,62
1,700000,2,70.6
2,768000,2,48
1,750000,4,103
0,415000,1,31.25
2,786000,2,48
0,217000,1,12.8
3,1247000,2,59.25
2,1400000,4,86
3,920000,3,71
3,679000,2,53
4,795000,2,55
5,375000,1,24.5
6,1399000,6,156
5,1379000,3,76.7
4,950000,3,81
1,1037000,2,61
0,590000,2,48
1,1190000,3,70
2,429000,7,207
2,595000,2,60
2,1530000,5,128
2,989000,2,51.13
1,980000,2,69.37
3,329000,2,33
1,289000,1,20
2,770000,2,55.2
5,759000,2,59.49
1,499698,3,48.99
4,420000,1,33
1,1990000,5,106.9
3,614800,3,49
1,635000,2,55.25
0,839000,3,70
3,347514,1,34.07
4,561000,3,63
0,579000,4,99
1,935000,3,84
2,1795000,5,105.46
1,345000,1,32
2,1790000,5,106
0,520000,1,38.35
1,890000,3,70.7
4,469000,1,37.9
0,473385,3,49.83
1,749000,3,83
4,561000,3,63
2,729000,2,52.05
2,2350000,7,162.48
0,334177,1,26
4,1050000,2,62
1,560000,3,72
5,990000,3,93.61
3,345000,2,44.62
2,700000,3,89
2,714000,2,52.1
2,999000,3,72.5
1,2050000,3,85.31
0,299000,1,26
4,2850000,4,120
0,334177.5,1,26.21
1,369000,1,29
4,1250000,5,145
5,489000,2,61.48
2,1290000,4,97
2,729000,2,52.05
2,1685000,5,105.46
2,940000,2,60
2,550000,2,40
1,177000,1,16.14
1,990000,2,75
2,1160000,4,124.3
3,1490000,5,111
1,780000,3,51.8
5,699000,2,55
1,1540000,3,101
4,1800000,3,90
0,1044000,5,87
2,1160000,4,120.1
0,329900,1,24
4,1800000,3,90
4,799000,1,34.7
1,1599000,4,112.83
5,699000,2,54.8
3,665000,5,124.4
2,1160000,4,120.1
2,1350000,4,98
2,220000,1,21.17
3,848000,3,87.2
3,980000,2,68.46
4,1350000,4,95
1,379000,1,36.31
0,259000,1,24.5
1,460000,3,73.08
2,239000,1,33
1,950000,2,75.3
2,1150000,4,120
4,590000,2,66
1,950000,2,75.3
5,970000,2,53.17
0,1690000,6,166
2,1160000,4,120
1,798000,2,59
2,1160000,4,120.1
4,1350000,4,95
5,375000,1,24.6
0,465000,1,30
2,1160000,4,120.1
3,599000,2,36
2,1160000,4,120
3,670000,2,38
3,1590000,3,100
3,1500000,4,134
3,625000,2,38
3,329000,2,33
1,729000,2,52
3,600000,2,48.54
3,715000,4,105
0,530000,2,40
3,329000,2,33
2,539000,2,41
0,480000,2,30
1,1550000,3,72.16
1,1549000,3,101
0,480000,2,29.3
0,729000,4,76
1,868000,2,62
1,1250000,3,86
1,438690,2,40.33
3,310000,1,18
0,595000,2,48
2,660000,2,57
1,549000,3,100.4
2,599000,3,58.12
1,1750000,3,90
1,509000,2,38.12
0,530000,2,48
2,595000,2,60
0,570000,2,60
0,538000,1,40.5
1,1095000,4,143
5,1530000,4,102.75
1,1550000,3,103.5
2,1049000,4,122.7
3,1400000,4,99
1,1550000,3,72.16
1,999000,2,81
3,1190000,3,72
